Date, Host, Packet loss, min, avg, max, mdev, type
20/04/2018 12:41, 101.100.209.220,0,235.202,265.042,266.683,2.762, LOSS_FREE
20/04/2018 18:49, 101.100.209.220,24,278.111,290.146,294.182,5.232, MAJOR_LOSS
21/04/2018 00:49, 101.100.209.220,51,233.184,292.209,298.802,13.796, MAJOR_LOSS
21/04/2018 06:49, 101.100.209.220,19,293.094,293.603,294.459,0.798, MAJOR_LOSS
21/04/2018 12:49, 101.100.209.220,26,291.937,295.758,298.36,1.868, MAJOR_LOSS
21/04/2018 18:49, 101.100.209.220,45,238.598,284.42,296.552,22.262, MAJOR_LOSS
22/04/2018 00:49, 101.100.209.220,45,292.043,293.608,294.305,0.851, MAJOR_LOSS
22/04/2018 06:49, 101.100.209.220,11,291.924,296.335,299.288,2.18, MAJOR_LOSS
22/04/2018 12:49, 101.100.209.220,27,243.066,284.236,296.601,21.387, MAJOR_LOSS
22/04/2018 18:49, 101.100.209.220,37,260.837,287.746,302.942,13.185, MAJOR_LOSS
23/04/2018 00:49, 101.100.209.220,30,293.829,297.174,298.488,1.25, MAJOR_LOSS
23/04/2018 06:49, 101.100.209.220,0,236.664,284.147,305.725,23.241, LOSS_FREE
23/04/2018 12:49, 101.100.209.220,9,186.031,291.823,298.815,10.337, SIGNIFICANT_LOSS
23/04/2018 18:49, 101.100.209.220,16,291.685,294.173,296.224,1.721, MAJOR_LOSS
24/04/2018 00:49, 101.100.209.220,3,291.545,292.557,296.305,1.734, LOSS_FREE
24/04/2018 06:49, 101.100.209.220,32,278.452,290.223,293.469,5.113, MAJOR_LOSS
24/04/2018 12:49, 101.100.209.220,25,292.121,294.048,297.788,1.17, MAJOR_LOSS
24/04/2018 18:49, 101.100.209.220,6,293.098,293.451,296.161,0.748, SIGNIFICANT_LOSS
25/04/2018 00:49, 101.100.209.220,4,292.799,293.191,293.65,0.643, LOSS_FREE
25/04/2018 06:49, 101.100.209.220,2,293.057,295.35,298.328,1.725, LOSS_FREE
25/04/2018 12:49, 101.100.209.220,0,291.41,292.272,305.277,1.916, LOSS_FREE
25/04/2018 18:49, 101.100.209.220,34,239.233,284.864,300.397,21.682, MAJOR_LOSS
26/04/2018 00:49, 101.100.209.220,3,265.505,292.563,294.686,5.061, LOSS_FREE
26/04/2018 06:49, 101.100.209.220,33,280.943,285.946,288.33,2.263, MAJOR_LOSS
26/04/2018 12:49, 101.100.209.220,0,291.184,292.716,296.143,1.46, LOSS_FREE
26/04/2018 18:49, 101.100.209.220,9,291.285,291.73,292.383,0.716, SIGNIFICANT_LOSS
27/04/2018 00:49, 101.100.209.220,0,294.438,294.82,296.31,0.673, LOSS_FREE
27/04/2018 06:49, 101.100.209.220,16,291.028,291.291,292.069,0.344, MAJOR_LOSS
,,,,,,,
,,,,,,,
Packet loss is due to time of day since trace route does not change at any point,,,,,,,
