Date, Host, Packet loss, min, avg, max, mdev, type
20/04/2018 12:41:10 BST, 101.100.209.220,0,235.202,265.042,266.683,2.762, LOSS_FREE
20/04/2018 18:49:17 BST, 101.100.209.220,24,278.111,290.146,294.182,5.232, MAJOR_LOSS
21/04/2018 00:49:08 BST, 101.100.209.220,51,233.184,292.209,298.802,13.796, MAJOR_LOSS
21/04/2018 06:49:18 BST, 101.100.209.220,19,293.094,293.603,294.459,0.798, MAJOR_LOSS
21/04/2018 12:49:17 BST, 101.100.209.220,26,291.937,295.758,298.36,1.868, MAJOR_LOSS
21/04/2018 18:49:07 BST, 101.100.209.220,45,238.598,284.42,296.552,22.262, MAJOR_LOSS
22/04/2018 00:49:07 BST, 101.100.209.220,45,292.043,293.608,294.305,0.851, MAJOR_LOSS
22/04/2018 06:49:07 BST, 101.100.209.220,11,291.924,296.335,299.288,2.18, MAJOR_LOSS
22/04/2018 12:49:17 BST, 101.100.209.220,27,243.066,284.236,296.601,21.387, MAJOR_LOSS
22/04/2018 18:49:09 BST, 101.100.209.220,37,260.837,287.746,302.942,13.185, MAJOR_LOSS
23/04/2018 00:49:08 BST, 101.100.209.220,30,293.829,297.174,298.488,1.25, MAJOR_LOSS
23/04/2018 06:49:17 BST, 101.100.209.220,0,236.664,284.147,305.725,23.241, LOSS_FREE
23/04/2018 12:49:08 BST, 101.100.209.220,9,186.031,291.823,298.815,10.337, SIGNIFICANT_LOSS
23/04/2018 18:49:17 BST, 101.100.209.220,16,291.685,294.173,296.224,1.721, MAJOR_LOSS
24/04/2018 00:49:09 BST, 101.100.209.220,3,291.545,292.557,296.305,1.734, LOSS_FREE
24/04/2018 06:49:08 BST, 101.100.209.220,32,278.452,290.223,293.469,5.113, MAJOR_LOSS
24/04/2018 12:49:09 BST, 101.100.209.220,25,292.121,294.048,297.788,1.17, MAJOR_LOSS
24/04/2018 18:49:10 BST, 101.100.209.220,6,293.098,293.451,296.161,0.748, SIGNIFICANT_LOSS
25/04/2018 00:49:08 BST, 101.100.209.220,4,292.799,293.191,293.65,0.643, LOSS_FREE
25/04/2018 06:49:09 BST, 101.100.209.220,2,293.057,295.35,298.328,1.725, LOSS_FREE
25/04/2018 12:49:12 BST, 101.100.209.220,0,291.41,292.272,305.277,1.916, LOSS_FREE
25/04/2018 18:49:08 BST, 101.100.209.220,34,239.233,284.864,300.397,21.682, MAJOR_LOSS
26/04/2018 00:49:07 BST, 101.100.209.220,3,265.505,292.563,294.686,5.061, LOSS_FREE
26/04/2018 06:49:17 BST, 101.100.209.220,33,280.943,285.946,288.33,2.263, MAJOR_LOSS
26/04/2018 12:49:06 BST, 101.100.209.220,0,291.184,292.716,296.143,1.46, LOSS_FREE
26/04/2018 18:49:06 BST, 101.100.209.220,9,291.285,291.73,292.383,0.716, SIGNIFICANT_LOSS
27/04/2018 00:49:14 BST, 101.100.209.220,0,294.438,294.82,296.31,0.673, LOSS_FREE
27/04/2018 06:49:14 BST, 101.100.209.220,16,291.028,291.291,292.069,0.344, MAJOR_LOSS
20/04/2018 12:35:11 BST, 103.241.150.190,0,255.169,255.72,262.389,0.857, LOSS_FREE
21/04/2018 00:43:10 BST, 103.241.150.190,0,132.068,189.481,195.864,16.212, LOSS_FREE
21/04/2018 06:43:20 BST, 103.241.150.190,0,192.104,193.26,199.515,1.05, LOSS_FREE
21/04/2018 12:43:19 BST, 103.241.150.190,0,192.104,194.733,196.48,1.487, LOSS_FREE
21/04/2018 18:43:09 BST, 103.241.150.190,0,192.142,194.394,198.284,0.946, LOSS_FREE
22/04/2018 00:43:10 BST, 103.241.150.190,0,166.845,192.522,194.785,4.648, LOSS_FREE
22/04/2018 06:43:09 BST, 103.241.150.190,0,111.728,189.945,197.429,20.685, LOSS_FREE
22/04/2018 12:43:19 BST, 103.241.150.190,0,140.416,184.324,196.224,20.991, LOSS_FREE
22/04/2018 18:43:11 BST, 103.241.150.190,0,193.021,193.548,195.46,0.44, LOSS_FREE
23/04/2018 00:43:10 BST, 103.241.150.190,0,194.706,195.998,201.675,1.275, LOSS_FREE
23/04/2018 06:43:19 BST, 103.241.150.190,0,192.301,194.368,199.194,1.092, LOSS_FREE
23/04/2018 12:43:10 BST, 103.241.150.190,0,186.412,191.502,196.929,2.425, LOSS_FREE
23/04/2018 18:43:18 BST, 103.241.150.190,0,191.876,192.057,193.165,0.481, LOSS_FREE
24/04/2018 00:43:11 BST, 103.241.150.190,0,191.719,191.985,194.433,0.579, LOSS_FREE
24/04/2018 06:43:11 BST, 103.241.150.190,0,192.677,193.208,198.913,1.011, LOSS_FREE
24/04/2018 12:43:11 BST, 103.241.150.190,0,192.36,193.767,199.953,0.9, LOSS_FREE
24/04/2018 18:43:12 BST, 103.241.150.190,0,188.134,192.06,236.313,4.371, LOSS_FREE
25/04/2018 00:43:10 BST, 103.241.150.190,0,192.117,192.988,196.064,0.772, LOSS_FREE
25/04/2018 06:43:11 BST, 103.241.150.190,0,192.958,193.655,196.272,0.669, LOSS_FREE
25/04/2018 12:43:13 BST, 103.241.150.190,0,191.704,192.084,193.433,0.574, LOSS_FREE
25/04/2018 18:43:09 BST, 103.241.150.190,0,146.43,189.202,196.167,14.734, LOSS_FREE
26/04/2018 00:43:09 BST, 103.241.150.190,0,168.568,188.419,194.252,9.609, LOSS_FREE
26/04/2018 06:43:20 BST, 103.241.150.190,0,192.365,192.697,196.152,0.701, LOSS_FREE
26/04/2018 12:43:08 BST, 103.241.150.190,0,192.617,193.087,195.228,0.441, LOSS_FREE
26/04/2018 18:43:09 BST, 103.241.150.190,0,192.754,193.058,193.862,0.558, LOSS_FREE
27/04/2018 00:43:16 BST, 103.241.150.190,0,192.997,193.272,193.871,0.294, LOSS_FREE
27/04/2018 06:43:17 BST, 103.241.150.190,0,192.64,192.917,199.553,0.65, LOSS_FREE
20/04/2018 12:29:13 BST, 103.242.31.11,0,243.913,244.318,244.836,0.574, LOSS_FREE
20/04/2018 18:29:12 BST, 103.242.31.11,0,242.917,246.379,254.064,1.872, LOSS_FREE
21/04/2018 00:37:11 BST, 103.242.31.11,0,170.861,171.696,173.393,0.73, LOSS_FREE
